,Variable,VIF
0,const,139.1926409703782
1,Duration_in_month,2.0490531687174314
2,Credit_amount,2.5503528578366135
3,Installment_rate,1.3863169713398449
4,Present_residence,1.3441761520826065
5,Age,1.470060886610261
6,Existing_credits,1.648534157989341
7,Dependents,1.1945940137379523
8,Existing_checking_account_A12,1.6769255378840429
9,Existing_checking_account_A13,1.2410084623522661
10,Existing_checking_account_A14,1.7907939296349777
11,Credit_history_A31,2.3958763765588627
12,Credit_history_A32,7.892716023196262
13,Credit_history_A33,3.070682819265171
14,Credit_history_A34,6.7252253741343715
15,Purpose_A41,1.462960517072999
16,Purpose_A410,1.1755788741008515
17,Purpose_A42,1.6022004470214843
18,Purpose_A43,1.7704602388559683
19,Purpose_A44,1.0749635021439643
20,Purpose_A45,1.1130865421115386
21,Purpose_A46,1.2194453534151295
22,Purpose_A48,1.0872926699383232
23,Purpose_A49,1.46835937841651
24,Savings_account_bonds_A62,1.1487423812393283
25,Savings_account_bonds_A63,1.1195728820343398
26,Savings_account_bonds_A64,1.094449908268297
27,Savings_account_bonds_A65,1.2005174963167933
28,Present_employment_since_A72,4.325936024300676
29,Present_employment_since_A73,6.219221097973786
30,Present_employment_since_A74,4.359903221112721
31,Present_employment_since_A75,5.215698476206744
32,Marital_and_sex_A92,5.330681107061301
33,Marital_and_sex_A93,5.8870912150465635
34,Marital_and_sex_A94,2.8179963421330316
35,Other_debtors_guarantors_A102,1.0910089301093489
36,Other_debtors_guarantors_A103,1.1401435733325596
37,Property_A122,1.573503140714543
38,Property_A123,1.7674100121814773
39,Property_A124,3.310460420519048
40,Other_installment_plans_A142,1.347979185566915
41,Other_installment_plans_A143,1.4524427742975128
42,Housing_A152,1.767265342670938
43,Housing_A153,3.1605003816087036
44,Job_A172,10.829031964530156
45,Job_A173,14.89773107128343
46,Job_A174,8.32005281746017
47,Telephone_A192,1.3331741631814344
48,Foreign_worker_A202,1.116882029777661
